Country_code_9_digit,Country_code,Country_name,PCON_CODE,PCON_NAME,Cden_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15
E92000001,921,England,E14001000,Torridge and West Devon,778,487,418,735,712,436,307,176
E92000001,921,England,E14001001,Totnes,1105,762,675,1065,1041,699,427,277
E92000001,921,England,E14001002,Tottenham,639,359,278,567,546,291,172,105
E92000001,921,England,E14001003,Truro and Falmouth,1018,692,613,976,965,647,350,236
E92000001,921,England,E14001004,Tunbridge Wells,1200,968,886,1148,1129,904,728,549
E92000001,921,England,E14001005,Twickenham,929,667,588,870,854,598,487,363
E92000001,921,England,E14001006,Tynemouth,1220,939,822,1177,1164,839,471,368
E92000001,921,England,E14001007,Uxbridge and South Ruislip,1278,786,668,1176,1136,702,581,333
E92000001,921,England,E14001008,Vauxhall,583,374,291,555,521,307,356,130
E92000001,921,England,E14001009,Wakefield,805,537,484,734,728,501,311,175
E92000001,921,England,E14001010,Wallasey,868,502,406,800,765,422,163,119
E92000001,921,England,E14001011,Walsall North,808,385,313,703,664,324,224,132
E92000001,921,England,E14001012,Walsall South,1034,639,581,965,942,605,392,288
E92000001,921,England,E14001013,Walthamstow,1117,749,642,1061,1023,662,404,261
E92000001,921,England,E14001014,Wansbeck,1190,760,664,1084,1060,690,336,220
E92000001,921,England,E14001015,Wantage,1085,786,717,1047,1027,762,590,339
E92000001,921,England,E14001016,Warley,1297,766,627,1229,1196,663,438,226
E92000001,921,England,E14001017,Warrington North,746,456,392,691,671,414,282,173
E92000001,921,England,E14001018,Warrington South,1690,1154,1033,1622,1598,1094,871,538
E92000001,921,England,E14001019,Warwick and Leamington,662,465,395,625,615,402,289,184
E92000001,921,England,E14001020,Washington and Sunderland West,1157,677,582,1085,1050,612,317,164
E92000001,921,England,E14001021,Watford,1125,857,746,1065,997,768,460,344
E92000001,921,England,E14001022,Waveney,1150,610,510,1065,1034,553,225,108
E92000001,921,England,E14001023,Wealden,862,593,532,824,811,562,320,197
E92000001,921,England,E14001024,Weaver Vale,1156,909,810,1110,1093,827,580,426
E92000001,921,England,E14001025,Wellingborough,1184,645,520,1108,1077,552,393,201
E92000001,921,England,E14001026,Wells,1210,883,725,1161,1103,740,452,303
E92000001,921,England,E14001027,Welwyn Hatfield,899,608,524,866,850,545,359,259
E92000001,921,England,E14001028,Wentworth and Dearne,1031,580,503,979,961,539,270,170
E92000001,921,England,E14001029,West Bromwich East,776,413,358,713,684,381,245,100
E92000001,921,England,E14001030,West Bromwich West,975,547,441,935,888,475,193,132
E92000001,921,England,E14001031,West Dorset,1388,1032,897,1336,1306,929,835,521
E92000001,921,England,E14001032,West Ham,2094,1422,1196,1994,1912,1230,938,517
E92000001,921,England,E14001033,West Lancashire,1092,743,625,1026,996,643,528,315
E92000001,921,England,E14001034,West Suffolk,696,458,372,677,661,383,227,148
E92000001,921,England,E14001035,West Worcestershire,983,767,690,963,958,698,462,329
E92000001,921,England,E14001036,Westminster North,875,640,573,852,837,590,391,233
E92000001,921,England,E14001037,Westmorland and Lonsdale,1019,717,620,981,968,640,445,267
E92000001,921,England,E14001038,Weston-Super-Mare,1093,697,582,1003,968,602,277,159
E92000001,921,England,E14001039,Wigan,1119,743,614,1075,1037,637,310,201
E92000001,921,England,E14001040,Wimbledon,1052,826,717,1027,1006,731,543,420
E92000001,921,England,E14001041,Winchester,1455,1180,1083,1384,1370,1103,785,605
E92000001,921,England,E14001042,Windsor,744,551,498,704,691,516,323,235
E92000001,921,England,E14001043,Wirral South,866,651,573,827,820,594,407,332
E92000001,921,England,E14001044,Wirral West,1099,909,789,1055,1041,796,654,479
E92000001,921,England,E14001045,Witham,881,618,532,849,806,551,279,160
E92000001,921,England,E14001046,Witney,1226,871,749,1157,1133,765,521,353
E92000001,921,England,E14001047,Woking,869,647,578,829,808,593,466,306
E92000001,921,England,E14001048,Wokingham,1229,936,822,1199,1181,844,633,461
E92000001,921,England,E14001049,Wolverhampton North East,1081,610,491,966,948,528,236,114
E92000001,921,England,E14001050,Wolverhampton South East,891,479,399,815,790,419,236,97
E92000001,921,England,E14001051,Wolverhampton South West,983,679,599,905,848,611,418,284
E92000001,921,England,E14001052,Worcester,1020,686,595,950,924,618,373,235
E92000001,921,England,E14001053,Workington,750,456,389,718,699,412,328,200
E92000001,921,England,E14001054,Worsley and Eccles South,837,492,388,784,688,405,294,163
E92000001,921,England,E14001055,Worthing West,501,349,312,462,456,322,76,52
E92000001,921,England,E14001056,Wycombe,1064,848,795,1035,1016,804,368,329
E92000001,921,England,E14001057,Wyre and Preston North,1474,1087,955,1421,1402,974,528,386
E92000001,921,England,E14001058,Wyre Forest,936,587,491,879,842,507,240,160
E92000001,921,England,E14001059,Wythenshawe and Sale East,855,541,472,781,759,493,335,222
E92000001,921,England,E14001060,Yeovil,1087,694,584,1044,1019,621,331,168
E92000001,921,England,E14001061,York Central,727,491,411,690,678,426,392,207
E92000001,921,England,E14001062,York Outer,991,770,683,969,955,688,542,345
