Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LAD_code_9_digit,LAD_code,LAD_name,IDACI_decile,Rurality,A1A4den_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15,,,,
E92000001,921,England,E12000001,A,North East,,,,10-20%,Urban,3258,1751,1443,2958,2837,1573,823,417,,,,
E92000001,921,England,E12000001,A,North East,,,,10-20%,Rural,509,283,229,451,442,243,110,61,,,,
E92000001,921,England,E12000001,A,North East,,,,20-30%,Urban,2805,1648,1361,2626,2531,1442,827,446,,,,
E92000001,921,England,E12000001,A,North East,,,,20-30%,Rural,733,397,348,671,656,366,164,92,,,,
E92000001,921,England,E12000001,A,North East,,,,30-40%,Urban,2010,1266,1064,1900,1847,1116,650,351,,,,
E92000001,921,England,E12000001,A,North East,,,,30-40%,Rural,597,392,326,560,551,338,208,122,,,,
E92000001,921,England,E12000001,A,North East,,,,40-50%,Urban,2151,1431,1206,2046,1989,1252,729,459,,,,
E92000001,921,England,E12000001,A,North East,,,,40-50%,Rural,510,323,268,476,465,283,173,88,,,,
E92000001,921,England,E12000001,A,North East,,,,50-60%,Urban,1280,900,773,1217,1193,801,499,310,,,,
E92000001,921,England,E12000001,A,North East,,,,50-60%,Rural,574,383,335,547,540,350,224,140,,,,
E92000001,921,England,E12000001,A,North East,,,,60-70%,Urban,1494,1141,976,1445,1426,1005,657,436,,,,
E92000001,921,England,E12000001,A,North East,,,,60-70%,Rural,581,406,355,553,547,374,245,170,,,,
E92000001,921,England,E12000001,A,North East,,,,70-80%,Urban,1245,960,845,1193,1177,876,578,402,,,,
E92000001,921,England,E12000001,A,North East,,,,70-80%,Rural,433,333,285,418,410,293,206,136,,,,
E92000001,921,England,E12000001,A,North East,,,,80-90%,Urban,1792,1483,1306,1749,1721,1335,943,646,,,,
E92000001,921,England,E12000001,A,North East,,,,80-90%,Rural,308,255,231,297,295,234,147,107,,,,
E92000001,921,England,E12000001,A,North East,,,,90-100% least deprived,Urban,2392,2013,1809,2350,2328,1840,1267,927,,,,
E92000001,921,England,E12000001,A,North East,,,,90-100% least deprived,Rural,403,322,288,388,384,295,191,147,,,,
E92000001,921,England,E12000002,B,North West,,,,,,75928,50115,42410,71225,69046,43905,28395,17848,,,,
E92000001,921,England,E12000002,B,North West,,,,0-10% most deprived,,12203,5963,4644,10828,10202,4930,3072,1453,,,,
E92000001,921,England,E12000002,B,North West,,,,10-20%,,8821,4714,3731,7934,7551,3934,2457,1250,,,,
E92000001,921,England,E12000002,B,North West,,,,20-30%,,7638,4498,3599,7053,6810,3756,2325,1252,,,,
E92000001,921,England,E12000002,B,North West,,,,30-40%,,6996,4253,3496,6529,6291,3645,2211,1265,,,,
E92000001,921,England,E12000002,B,North West,,,,40-50%,,5880,3882,3258,5559,5393,3398,2092,1291,,,,
E92000001,921,England,E12000002,B,North West,,,,50-60%,,5649,4001,3390,5389,5262,3507,2239,1427,,,,
E92000001,921,England,E12000002,B,North West,,,,60-70%,,5870,4339,3715,5638,5525,3821,2520,1670,,,,
E92000001,921,England,E12000002,B,North West,,,,70-80%,,6518,5017,4402,6308,6204,4502,2956,2081,,,,
E92000001,921,England,E12000002,B,North West,,,,80-90%,,7783,6268,5614,7594,7501,5744,3813,2680,,,,
E92000001,921,England,E12000002,B,North West,,,,90-100% least deprived,,8570,7180,6561,8393,8307,6668,4710,3479,,,,
E92000001,921,England,E12000002,B,North West,,,,,Urban - Major conurbation,42456,27469,22828,39539,38040,23583,15892,9701,,,,
E92000001,921,England,E12000002,B,North West,,,,,Urban - Minor conurbation,0,0,0,0,0,0,0,0,,,,
E92000001,921,England,E12000002,B,North West,,,,,Urban - City and town,25809,16925,14511,24292,23700,15095,9029,5781,,,,
E92000001,921,England,E12000002,B,North West,,,,,Rural areas - town and fringe,3941,2824,2464,3784,3732,2552,1693,1111,,,,
E92000001,921,England,E12000002,B,North West,,,,,Rural areas - village,2025,1567,1425,1967,1950,1461,991,682,,,,
E92000001,921,England,E12000002,B,North West,,,,,Rural areas - hamlet & isolated dwelling,1697,1330,1182,1643,1624,1214,790,573,,,,
E92000001,921,England,E12000002,B,North West,,,,0-10% most deprived,Urban,12132,5932,4618,10761,10137,4902,3056,1446,,,,
E92000001,921,England,E12000002,B,North West,,,,0-10% most deprived,Rural,71,31,26,67,65,28,16,7,,,,
E92000001,921,England,E12000002,B,North West,,,,10-20%,Urban,8687,4657,3691,7815,7436,3891,2424,1237,,,,
E92000001,921,England,E12000002,B,North West,,,,10-20%,Rural,134,57,40,119,115,43,33,13,,,,
E92000001,921,England,E12000002,B,North West,,,,20-30%,Urban,7505,4426,3545,6931,6692,3701,2286,1232,,,,
E92000001,921,England,E12000002,B,North West,,,,20-30%,Rural,133,72,54,122,118,55,39,20,,,,
E92000001,921,England,E12000002,B,North West,,,,30-40%,Urban,6692,4090,3366,6239,6006,3502,2118,1216,,,,
E92000001,921,England,E12000002,B,North West,,,,30-40%,Rural,304,163,130,290,285,143,93,49,,,,
E92000001,921,England,E12000002,B,North West,,,,40-50%,Urban,5410,3592,3009,5113,4956,3134,1930,1195,,,,
